order_id,customer_id,product,amount,order_date,status
O00451,C0086,External SSD,117.57,2024-10-01,PENDING
O00553,C0130,Chair Mat,156.82,10-29-2023,cancel
O00197,C0009,External SSD,137.94,15/07/2024,Refunded
O00453,C0039,Phone Case,57.83,2025-11-18,canceled
O00725,C0175,Chair Mat,169.46,2024-07-13,pend
O00932,C0007,Bluetooth Speaker,364.59,2024-08-10,Cancelled
O00459,C0037,Power Bank,122.79,07/11/2024,completed
O00329,C0033,Wireless Mouse,164.93,03-08-2023,COMPLETED
O00552,C0128,Cable Organizer,50.67,2023-11-16,REFUNDED
O00414,C0167,Notebook,28.28,2023-10-09,pending
O00238,C0157,Wireless Mouse,41.07,19/08/2025,cancelled
O00838,C0084,Whiteboard,180.8,16/06/2023,refunded
O00757,C0174,USB Cable,51.33,2024-11-24,Completed
O00391,C0130,Keyboard,165.78,2023-10-31,refunded
O00666,C0078,Power Bank,178.97,19/03/2025,done
O00996,C0048,Bluetooth Speaker,182.4,05-17-2024,Cancelled
O00370,C0001,Cable Organizer,84.43,02-08-2023,Completed
O00643,C0136,Backpack,121.49,19/09/2023,Pending
O00242,C0001,Keyboard,419.03,11-07-2025,cancel
O00978,C0083,Whiteboard,130.32,30/10/2023,refunded
O00864,C0136,HDMI Cable,22.96,2023-09-12,refunded
O00550,C0082,Earbuds,126.0,02-25-2024,pend
O00039,C0113,Bluetooth Speaker,450.38,2023-04-26,PENDING
O00168,C0097,Desk Lamp,118.15,03-12-2025,pend
O00419,C0011,Bluetooth Speaker,458.4,03-22-2023,pending
O00474,C0117,Marker Set,63.21,07-19-2025,cancel
O00132,C0043,Notebook,25.72,2023-08-30,CANCELLED
O00241,C0081,Monitor,,06/04/2025,REFUNDED
O00806,C0063,Power Bank,31.49,2024-08-30,Complete
O00665,C0005,Laptop,3997.88,04/09/2025,refunded
O00497,C0068,Phone Case,76.69,02-15-2024,refunded
O00818,C0096,HDMI Cable,78.1,03/02/2025,refund
O00358,C0096,External SSD,123.25,2023-10-27,Cancelled
O00385,C0040,USB Cable,34.15,22/04/2024,cancelled
O00514,C0031,Webcam,153.92,01-27-2025,Completed
O00801,C0057,Keyboard,251.22,2023-05-18,refunded
O00694,C0152,Webcam,155.79,05-15-2025,pending
O00368,C0076,Standing Desk,1999.7,13/12/2024,Pending
O00985,C0023,Monitor,361.23,2025-04-22,REFUNDED
O00186,C0033,Wireless Mouse,116.92,02-18-2024,Pending
O00523,C0138,Phone Case,54.62,2023-08-26,cancel
O00120,C0018,Mouse Pad,55.16,20/06/2025,done
O00036,C0119,Whiteboard,230.55,2024-04-15,done
O00758,C0095,Notebook,30.51,06-07-2025,done
O00767,C0116,External SSD,485.18,11/10/2024,COMPLETED
O00975,C0048,Wireless Mouse,47.36,2024-08-31,CANCELLED
O00485,C0153,USB Cable,53.78,2025-02-23,COMPLETED
O00664,C0048,Headphones,296.94,06-15-2024,REFUNDED
O00229,C0068,External SSD,117.49,22/03/2023,pend
O00167,C0167,Chair Mat,112.66,2024-12-31,COMPLETED
O00390,C0129,Marker Set,16.81,15/03/2025,refund
O00009,C0016,Marker Set,25.95,09-06-2025,COMPLETED
O00078,C0082,Desk Lamp,179.15,29/10/2024,Cancelled
O00991,C0050,Power Bank,155.67,2025-05-28,Cancelled
O00436,C0110,Power Bank,106.46,2024-12-25,refunded
O00100,C0126,Phone Case,29.12,27/03/2024,Completed
O00443,C0086,External SSD,,09-05-2024,pend
O00890,C0101,Headphones,468.2,2025-11-21,refunded
O00620,C0100,Surge Protector,74.37,2023-08-07,Pending
O00269,C0083,Mouse Pad,30.7,01-16-2023,Complete
O00761,C0162,Webcam,156.27,2025-09-28,refunded
O00804,C0171,HDMI Cable,18.37,08/07/2025,Completed
O00718,C0119,Standing Desk,,2024-04-23,refund
O00589,C0017,Notebook,15.45,2025-04-07,CANCELLED
O00107,C0174,Monitor,719.05,02/05/2023,done
O00119,C0081,Notebook,16.4,09-30-2023,done
O00618,C0102,Surge Protector,56.88,2025-10-21,refund
O00400,C0012,Webcam,136.48,2024-07-09,completed
O00493,C0065,Headphones,145.58,03-20-2024,refunded
O00099,C0099,Standing Desk,2511.28,04/10/2025,cancel
O00382,C0141,Surge Protector,87.97,2025-03-24,PENDING
O00842,C0028,Backpack,59.0,24/02/2025,Pending
O00189,C0150,Cable Organizer,34.11,26/07/2023,canceled
O00253,C0167,Phone Case,108.51,25/08/2023,refund
O00613,C0163,Headphones,601.63,25/11/2023,Completed
O00715,C0174,Phone Case,30.35,02-25-2023,Cancelled
O00923,C0162,Cable Organizer,62.85,07/06/2025,refunded
O00246,C0028,Webcam,349.85,2025-03-15,Complete
O00244,C0169,Notebook,21.81,2024-03-30,PENDING
O00299,C0124,Phone Case,55.74,01-08-2024,Pending
O00580,C0149,Notebook,16.98,05-10-2024,refunded
O00088,C0088,External SSD,248.01,19/07/2023,cancel
O00124,C0133,Power Bank,174.67,2023-04-22,refunded
O00073,C0022,Surge Protector,157.58,12-14-2023,done
O00278,C0079,Headphones,450.26,2025-11-15,Completed
O00868,C0076,Whiteboard,231.07,10-02-2024,canceled
O00880,C0003,Whiteboard,237.78,20/10/2023,Pending
O00914,C0179,USB Cable,26.11,01-25-2024,refunded
O00885,C0174,Mouse Pad,30.97,,Complete
O00610,C0148,HDMI Cable,41.5,15/08/2025,REFUNDED
O00398,C0079,External SSD,475.53,2024-03-09,Pending
,,Earbuds,,,pending
O00712,C0114,Keyboard,410.12,03/04/2023,completed
O00248,C0130,USB Cable,35.07,06-05-2025,Refunded
O00670,C0121,Laptop,4009.59,2025-03-13,refunded
O00154,C0045,Notebook,29.69,2025-07-02,Completed
O00347,C0135,Phone Case,15.87,28/10/2024,REFUNDED
O00837,C0132,Backpack,115.06,2024-10-21,pending
O00719,C0173,Monitor,714.05,15/09/2023,cancel
O00228,C0039,Keyboard,396.83,06-08-2024,PENDING
O00259,C0142,Wireless Mouse,43.58,2025-06-26,canceled
O00013,C0098,Pen Set,57.84,2024-08-17,cancelled
O00916,C0103,Power Bank,,03-22-2024,Refunded
O00751,C0178,Marker Set,45.95,11-18-2024,pend
O00311,C0026,Headphones,754.96,2023-04-17,completed
O00127,C0004,Webcam,,03-26-2025,Refunded
O00855,C0014,Marker Set,33.41,09/10/2023,PENDING
O00481,C0145,Webcam,80.72,04-16-2023,completed
O00906,C0072,Notebook,25.13,,pend
O00563,C0036,Headphones,315.79,2025-10-01,PENDING
O00431,C0168,Notebook,,03/09/2024,pending
O00902,C0122,Marker Set,21.52,2024-01-07,refund
O00059,C0050,Power Bank,176.26,2025-03-23,Cancelled
,,Power Bank,,,pending
O00706,C0107,HDMI Cable,77.69,22/11/2024,done
O00332,C0094,Phone Case,85.56,01/02/2025,Pending
O00674,C0115,Marker Set,31.48,29/01/2024,Completed
O00800,C0028,Notebook,17.31,2024-10-09,cancel
O00898,C0129,Surge Protector,110.25,2023-02-13,Refunded
O00115,C0024,Tablet Stand,76.23,2023-12-05,PENDING
O00384,C0081,Laptop,3017.95,2023-11-13,canceled
O00556,C0150,Mouse Pad,38.51,2024-02-05,cancel
O00901,C0048,Bluetooth Speaker,284.14,05-21-2024,Complete
O00416,C0053,Keyboard,178.16,09-30-2025,cancel
O00265,C0024,Notebook,29.06,09/11/2024,Refunded
O00874,C0098,Laptop,5001.14,08-14-2023,cancelled
O00887,C0176,Power Bank,45.17,2024-04-05,done
O00262,C0150,Webcam,73.25,2023-11-14,pend
O00412,C0034,Phone Case,34.05,06-30-2024,Completed
O00476,C0069,Backpack,,03-19-2023,canceled
O00519,C0090,Backpack,68.93,07-15-2023,REFUNDED
O00691,C0180,Pen Set,63.06,06-24-2025,Cancelled
O00656,C0080,Whiteboard,223.23,01-22-2025,cancel
O00743,C0144,Wireless Mouse,106.22,2025-04-21,completed
O00537,C0070,Marker Set,53.51,06-15-2023,pending
O00548,C0124,Notebook,,24/12/2024,COMPLETED
O00305,C0026,Backpack,121.34,21/06/2023,REFUNDED
O00850,C0154,Chair Mat,157.53,07-14-2024,Complete
O00608,C0167,Desk Lamp,215.05,2024-10-03,Pending
O00417,C0064,Backpack,254.37,02-18-2025,refund
O00029,C0052,Earbuds,298.7,2025-06-23,refund
O00755,C0162,Earbuds,,10/02/2024,Pending
O00972,C0082,Earbuds,79.69,08/05/2023,refunded
O00236,C0174,Mouse Pad,73.04,11-23-2024,refunded
O00750,C0014,Backpack,179.86,2024-02-17,refunded
O00354,C0073,Tablet Stand,140.17,2023-05-21,refunded
O00585,C0143,Surge Protector,25.05,27/02/2025,PENDING
O00207,C0170,Chair Mat,113.01,28/08/2024,Cancelled
O00065,C0020,Desk Lamp,89.08,03-07-2025,pend
O00918,C0044,Bluetooth Speaker,98.33,31/10/2023,Pending
O00568,C0067,Phone Case,96.41,05/10/2023,Pending
O00448,C0130,Laptop,4017.58,27/11/2024,Refunded
O00290,C0060,Keyboard,,02-28-2024,canceled
O00504,C0021,External SSD,371.16,22/03/2023,PENDING
O00318,C0058,Power Bank,76.35,10/01/2023,Refunded
O00924,C0024,HDMI Cable,36.46,2023-12-27,COMPLETED
O00574,C0030,USB Cable,16.98,2025-01-12,Refunded
O00263,C0153,Wireless Mouse,166.03,2025-01-03,pend
O00754,C0048,Laptop,2995.22,2023-08-24,Complete
O00774,C0120,Surge Protector,115.48,20/01/2024,CANCELLED
O00380,C0169,Phone Case,119.91,22/12/2024,pend
O00942,C0093,Standing Desk,2018.9,03/05/2023,done
O00388,C0090,Backpack,258.22,04-09-2024,completed
O00046,C0014,Webcam,291.8,2023-05-30,refund
O00365,C0041,HDMI Cable,27.14,2023-05-03,done
O00533,C0116,HDMI Cable,27.06,2025-04-12,PENDING
O00287,C0121,Tablet Stand,54.13,2024-08-18,Refunded
O00015,C0028,Power Bank,,04-07-2024,refunded
O00723,C0150,Mouse Pad,32.11,24/05/2023,refunded
O00816,C0142,Surge Protector,57.41,17/07/2025,refunded
O00216,C0023,USB Cable,55.79,28/05/2025,pending
O00462,C0078,Standing Desk,2004.98,05-14-2024,refunded
O00865,C0047,Power Bank,65.11,2024-10-05,refund
O00534,C0062,Tablet Stand,20.39,11-28-2023,refund
O00240,C0104,Bluetooth Speaker,96.47,2025-07-06,cancel
O00184,C0077,Keyboard,337.53,10-25-2025,refund
O00686,C0093,Tablet Stand,48.77,2025-05-13,CANCELLED
O00728,C0138,Laptop,4011.77,02-09-2025,COMPLETED
O00161,C0046,Bluetooth Speaker,452.9,,canceled
O00843,C0171,HDMI Cable,26.63,2025-10-04,pend
O00227,C0177,HDMI Cable,,2023-07-02,refunded
O00498,C0028,USB Cable,64.17,06/08/2023,refunded
O00826,C0037,Webcam,158.23,2024-09-22,refunded
O00747,C0048,Bluetooth Speaker,,09-30-2024,canceled
O00627,C0126,HDMI Cable,78.12,2025-05-15,Pending
O00956,C0080,Laptop,3013.76,2025-10-21,Cancelled
O00094,C0136,Tablet Stand,84.89,22/08/2023,cancel
O00631,C0116,HDMI Cable,31.5,01/11/2024,CANCELLED
O00237,C0111,Whiteboard,97.03,2025-02-27,REFUNDED
O00873,C0096,Earbuds,310.07,11/11/2023,CANCELLED
O00654,C0141,Power Bank,137.27,06/05/2024,Complete
O00153,C0013,Phone Case,105.78,2025-10-13,CANCELLED
O00044,C0119,Wireless Mouse,155.27,02/10/2023,Complete
O00437,C0134,Surge Protector,119.27,04-21-2024,Complete
O00397,C0022,Monitor,351.07,,refunded
O00386,C0147,Pen Set,82.9,26/10/2024,refund
O00284,C0079,HDMI Cable,72.67,17/06/2023,done
O00650,C0107,Keyboard,174.19,2024-11-04,refunded
O00070,C0163,USB Cable,42.88,11/01/2023,Pending
O00429,C0156,HDMI Cable,30.4,18/07/2025,completed
O00649,C0145,Whiteboard,225.26,01-09-2023,COMPLETED
O00350,C0106,Webcam,,07/10/2023,REFUNDED
O00859,C0063,Wireless Mouse,31.01,12-20-2023,cancelled
O00796,C0014,Power Bank,31.21,2024-02-18,Completed
O00166,C0151,Monitor,1052.51,11-19-2023,refunded
O00404,C0079,Chair Mat,204.79,12-11-2024,PENDING
O00224,C0178,Whiteboard,47.52,07-06-2024,done
O00289,C0046,Earbuds,311.44,17/09/2025,refunded
O00089,C0082,Keyboard,236.09,16/02/2023,COMPLETED
O00160,C0137,Surge Protector,42.09,06/03/2025,COMPLETED
O00779,C0146,External SSD,357.3,2023-12-30,refunded
O00639,C0083,Marker Set,48.13,05-16-2025,cancelled
O00677,C0171,HDMI Cable,29.31,2025-10-04,refunded
O00793,C0042,Phone Case,30.16,09-12-2023,COMPLETED
O00911,C0020,Standing Desk,2503.52,02-18-2024,pending
O00217,C0137,Headphones,468.72,2024-01-26,Completed
O00946,C0021,Bluetooth Speaker,85.3,2025-05-02,refunded
O00731,C0093,Wireless Mouse,97.29,2024-03-04,Cancelled
O00962,C0040,Earbuds,,09-25-2024,cancelled
O00824,C0133,Headphones,599.11,09-10-2024,Cancelled
O00957,C0092,USB Cable,13.27,2025-10-28,done
O00817,C0019,Chair Mat,112.85,,Refunded
O00655,C0042,Pen Set,54.08,2023-11-12,CANCELLED
O00554,C0087,Marker Set,22.28,10-13-2023,PENDING
O00958,C0007,Earbuds,246.88,18/03/2023,cancel
O00042,C0127,Wireless Mouse,108.51,10-14-2024,done
O00300,C0043,Surge Protector,102.03,2023-05-21,done
O00475,C0099,Notebook,11.62,10-17-2025,Refunded
O00998,C0029,External SSD,598.02,2024-06-20,refunded
O00376,C0107,Notebook,21.58,03-25-2023,PENDING
O00074,C0069,Desk Lamp,,09/06/2025,refunded
O00139,C0003,Notebook,14.27,11/05/2024,refunded
O00635,C0031,Laptop,5005.83,07-18-2025,Completed
O00749,C0003,Mouse Pad,71.39,05-01-2024,REFUNDED
O00702,C0117,HDMI Cable,28.65,2025-01-26,CANCELLED
O00738,C0177,Backpack,77.91,05/11/2024,refunded
O00394,C0064,Bluetooth Speaker,91.65,2023-07-03,CANCELLED
O00492,C0018,Laptop,3997.4,02/07/2025,PENDING
O00258,C0061,Mouse Pad,,20/02/2025,pend
O00596,C0114,External SSD,115.81,09-12-2024,CANCELLED
O00522,C0054,Backpack,183.33,2025-07-17,pending
O00180,C0126,Whiteboard,132.25,14/01/2024,canceled
O00667,C0004,Headphones,165.39,2024-01-21,done
O00129,C0131,Headphones,308.39,16/05/2023,Completed
O00026,C0164,Desk Lamp,130.34,01/10/2023,canceled
O00001,C0019,Pen Set,71.21,2023-09-01,Cancelled
O00478,C0157,Keyboard,166.79,06-09-2023,refund
O00339,C0045,Cable Organizer,51.85,09-25-2025,cancelled
O00987,C0142,Pen Set,12.88,12/09/2023,cancel
O00879,C0047,Notebook,38.74,04/04/2025,Pending
O00003,C0011,Wireless Mouse,28.42,08-28-2025,Refunded
O00980,C0025,Wireless Mouse,73.62,12-07-2023,canceled
O00518,C0157,Marker Set,18.9,06-30-2023,PENDING
O00028,C0135,External SSD,612.54,2023-08-18,Refunded
O00064,C0145,Whiteboard,44.47,2023-02-02,Cancelled
O00710,C0022,Headphones,758.5,23/01/2024,completed
O00423,C0007,Phone Case,89.72,18/02/2024,pend
O00145,C0101,Marker Set,29.92,2023-06-02,refund
O00614,C0104,Bluetooth Speaker,,27/09/2024,CANCELLED
O00021,C0070,Headphones,153.26,06-10-2024,pend
O00659,C0127,Mouse Pad,57.05,12/06/2023,done
O00008,C0049,Laptop,4002.8,22/02/2024,refunded
O00546,C0060,Mouse Pad,41.26,30/10/2024,Refunded
O00669,C0038,HDMI Cable,55.51,11-09-2023,refunded
O00034,C0115,Pen Set,48.97,09-30-2023,refunded
O00717,C0153,Earbuds,127.3,2025-02-27,pend
O00250,C0130,Pen Set,71.45,23/05/2024,pend
O00156,C0108,Headphones,751.18,09/02/2023,canceled
O00084,C0166,Power Bank,44.07,29/03/2025,CANCELLED
O00573,C0158,Marker Set,61.1,22/08/2023,cancelled
O00286,C0149,Earbuds,254.19,03-17-2023,REFUNDED
O00683,C0053,Notebook,25.19,02/11/2025,refunded
O00875,C0085,Tablet Stand,29.06,2024-07-13,Completed
O00268,C0007,Mouse Pad,43.83,2025-09-23,Complete
O00701,C0037,Mouse Pad,31.1,11-17-2025,Complete
O00689,C0170,Tablet Stand,,30/11/2025,REFUNDED
O00860,C0119,Tablet Stand,101.84,2025-01-22,cancelled
O00076,C0028,USB Cable,25.14,17/02/2025,CANCELLED
O00351,C0003,Marker Set,54.63,19/01/2023,Completed
O00256,C0074,Whiteboard,,2024-08-27,pending
O00809,C0088,Bluetooth Speaker,188.46,05-23-2024,Completed
O00057,C0137,Standing Desk,1995.26,07-16-2024,completed
O00148,C0056,Chair Mat,97.26,29/12/2024,PENDING
O00944,C0015,Surge Protector,53.91,21/10/2023,CANCELLED
O00471,C0104,Pen Set,60.59,2025-08-30,Cancelled
O00406,C0058,USB Cable,47.4,06-29-2023,Completed
O00856,C0038,Headphones,315.09,19/01/2023,refund
